train;test
RoofStyle_Gable;RoofStyle_Gable
RoofStyle_Gambrel;RoofStyle_Gambrel
RoofStyle_Hip;RoofStyle_Hip
RoofStyle_Mansard;RoofStyle_Mansard
RoofStyle_Shed;RoofStyle_Shed
RoofMatl_ClyTile;
RoofMatl_CompShg;RoofMatl_CompShg
RoofMatl_Membran;
RoofMatl_Metal;
RoofMatl_Roll;
RoofMatl_Tar&Grv;RoofMatl_Tar&Grv
RoofMatl_WdShake;RoofMatl_WdShake
RoofMatl_WdShngl;RoofMatl_WdShngl
Exterior1st_AsbShng;Exterior1st_AsbShng
Exterior1st_AsphShn;Exterior1st_AsphShn
Exterior1st_BrkComm;Exterior1st_BrkComm
Exterior1st_BrkFace;Exterior1st_BrkFace
Exterior1st_CBlock;Exterior1st_CBlock
Exterior1st_CemntBd;Exterior1st_CemntBd
Exterior1st_HdBoard;Exterior1st_HdBoard
Exterior1st_ImStucc;
Exterior1st_MetalSd;Exterior1st_MetalSd
Exterior1st_Plywood;Exterior1st_Plywood
Exterior1st_Stone;
Exterior1st_Stucco;Exterior1st_Stucco
Exterior1st_VinylSd;Exterior1st_VinylSd
Exterior1st_Wd Sdng;Exterior1st_Wd Sdng
Exterior1st_WdShing;Exterior1st_WdShing
Exterior2nd_AsbShng;Exterior2nd_AsbShng
Exterior2nd_AsphShn;Exterior2nd_AsphShn
Exterior2nd_Brk Cmn;Exterior2nd_Brk Cmn
Exterior2nd_BrkFace;Exterior2nd_BrkFace
Exterior2nd_CBlock;Exterior2nd_CBlock
Exterior2nd_CmentBd;Exterior2nd_CmentBd
Exterior2nd_HdBoard;Exterior2nd_HdBoard
Exterior2nd_ImStucc;Exterior2nd_ImStucc
Exterior2nd_MetalSd;Exterior2nd_MetalSd
Exterior2nd_Other;
Exterior2nd_Plywood;Exterior2nd_Plywood
Exterior2nd_Stone;Exterior2nd_Stone
Exterior2nd_Stucco;Exterior2nd_Stucco
Exterior2nd_VinylSd;Exterior2nd_VinylSd
Exterior2nd_Wd Sdng;Exterior2nd_Wd Sdng
Exterior2nd_Wd Shng;Exterior2nd_Wd Shng
MasVnrType_BrkCmn;MasVnrType_BrkCmn
MasVnrType_BrkFace;MasVnrType_BrkFace
MasVnrType_None;MasVnrType_None
MasVnrType_Stone;MasVnrType_Stone
ExterQual_Ex;ExterQual_Ex
ExterQual_Fa;ExterQual_Fa
ExterQual_Gd;ExterQual_Gd
ExterQual_TA;ExterQual_TA
ExterCond_Ex;ExterCond_Ex
ExterCond_Fa;ExterCond_Fa
ExterCond_Gd;ExterCond_Gd
ExterCond_Po;ExterCond_Po
ExterCond_TA;ExterCond_TA
Foundation_BrkTil;Foundation_BrkTil
Foundation_CBlock;Foundation_CBlock
Foundation_PConc;Foundation_PConc
Foundation_Slab;Foundation_Slab
Foundation_Stone;Foundation_Stone
Foundation_Wood;Foundation_Wood
BsmtQual_Ex;BsmtQual_Ex
BsmtQual_Fa;BsmtQual_Fa
BsmtQual_Gd;BsmtQual_Gd
BsmtQual_TA;BsmtQual_TA
BsmtCond_Fa;BsmtCond_Fa
BsmtCond_Gd;BsmtCond_Gd
BsmtCond_Po;BsmtCond_Po
BsmtCond_TA;BsmtCond_TA
BsmtExposure_Av;BsmtExposure_Av
BsmtExposure_Gd;BsmtExposure_Gd
BsmtExposure_Mn;BsmtExposure_Mn
BsmtExposure_No;BsmtExposure_No
BsmtFinType1_ALQ;BsmtFinType1_ALQ
BsmtFinType1_BLQ;BsmtFinType1_BLQ
BsmtFinType1_GLQ;BsmtFinType1_GLQ
BsmtFinType1_LwQ;BsmtFinType1_LwQ
BsmtFinType1_Rec;BsmtFinType1_Rec
BsmtFinType1_Unf;BsmtFinType1_Unf
BsmtFinType2_ALQ;BsmtFinType2_ALQ
BsmtFinType2_BLQ;BsmtFinType2_BLQ
BsmtFinType2_GLQ;BsmtFinType2_GLQ
BsmtFinType2_LwQ;BsmtFinType2_LwQ
BsmtFinType2_Rec;BsmtFinType2_Rec
BsmtFinType2_Unf;BsmtFinType2_Unf
Heating_Floor;
Heating_GasA;Heating_GasA
Heating_GasW;Heating_GasW
Heating_Grav;Heating_Grav
Heating_OthW;
Heating_Wall;Heating_Wall
HeatingQC_Ex;HeatingQC_Ex
HeatingQC_Fa;HeatingQC_Fa
HeatingQC_Gd;HeatingQC_Gd
HeatingQC_Po;HeatingQC_Po
HeatingQC_TA;HeatingQC_TA
CentralAir_N;CentralAir_N
CentralAir_Y;CentralAir_Y
Electrical_FuseA;Electrical_FuseA
Electrical_FuseF;Electrical_FuseF
Electrical_FuseP;Electrical_FuseP
Electrical_Mix;
Electrical_SBrkr;Electrical_SBrkr
KitchenQual_Ex;KitchenQual_Ex
KitchenQual_Fa;KitchenQual_Fa
KitchenQual_Gd;KitchenQual_Gd
KitchenQual_TA;KitchenQual_TA
Functional_Maj1;Functional_Maj1
Functional_Maj2;Functional_Maj2
Functional_Min1;Functional_Min1
Functional_Min2;Functional_Min2
Functional_Mod;Functional_Mod
Functional_Sev;Functional_Sev
Functional_Typ;Functional_Typ
FireplaceQu_Ex;FireplaceQu_Ex
FireplaceQu_Fa;FireplaceQu_Fa
FireplaceQu_Gd;FireplaceQu_Gd
FireplaceQu_Po;FireplaceQu_Po
FireplaceQu_TA;FireplaceQu_TA
GarageType_2Types;GarageType_2Types
GarageType_Attchd;GarageType_Attchd
GarageType_Basment;GarageType_Basment
GarageType_BuiltIn;GarageType_BuiltIn
GarageType_CarPort;GarageType_CarPort
GarageType_Detchd;GarageType_Detchd
GarageFinish_Fin;GarageFinish_Fin
GarageFinish_RFn;GarageFinish_RFn
GarageFinish_Unf;GarageFinish_Unf
GarageQual_Ex;
GarageQual_Fa;GarageQual_Fa
GarageQual_Gd;GarageQual_Gd
GarageQual_Po;GarageQual_Po
GarageQual_TA;GarageQual_TA
GarageCond_Ex;GarageCond_Ex
GarageCond_Fa;GarageCond_Fa
GarageCond_Gd;GarageCond_Gd
GarageCond_Po;GarageCond_Po
GarageCond_TA;GarageCond_TA
PavedDrive_N;PavedDrive_N
PavedDrive_P;PavedDrive_P
PavedDrive_Y;PavedDrive_Y
PoolQC_Ex;PoolQC_Ex
PoolQC_Fa;
PoolQC_Gd;PoolQC_Gd
Fence_GdPrv;Fence_GdPrv
Fence_GdWo;Fence_GdWo
Fence_MnPrv;Fence_MnPrv
Fence_MnWw;Fence_MnWw
MiscFeature_Gar2;MiscFeature_Gar2
MiscFeature_Othr;MiscFeature_Othr
MiscFeature_Shed;MiscFeature_Shed
MiscFeature_TenC;
SaleType_COD;SaleType_COD
SaleType_CWD;SaleType_CWD
SaleType_Con;SaleType_Con
SaleType_ConLD;SaleType_ConLD
SaleType_ConLI;SaleType_ConLI
SaleType_ConLw;SaleType_ConLw
SaleType_New;SaleType_New
SaleType_Oth;SaleType_Oth
SaleType_WD;SaleType_WD
SaleCondition_Abnorml;SaleCondition_Abnorml
SaleCondition_AdjLand;SaleCondition_AdjLand
SaleCondition_Alloca;SaleCondition_Alloca
SaleCondition_Family;SaleCondition_Family
SaleCondition_Normal;SaleCondition_Normal
SaleCondition_Partial;SaleCondition_Partial
SalePrice;
